Bk              - 57090 - 13.793%
__              - 36377 - 8.789%
E               - 26501 - 6.403%
T               - 20476 - 4.947%
A               - 18268 - 4.414%
O               - 16793 - 4.057%
Shift           - 15651 - 3.781%
Enter           - 15580 - 3.764%
I               - 14759 - 3.566%
R               - 14124 - 3.412%
S               - 14087 - 3.403%
N               - 13713 - 3.313%
L               - 10305 - 2.49%
D               - 8761 - 2.117%
C               - 8382 - 2.025%
H               - 7328 - 1.77%
U               - 7106 - 1.717%
M               - 6901 - 1.667%
P               - 6767 - 1.635%
NAV             - 5382 - 1.3%
Tab             - 4671 - 1.129%
F               - 4553 - 1.1%
.               - 4251 - 1.027%
G               - 4007 - 0.968%
W               - 3853 - 0.931%
B               - 3770 - 0.911%
L1              - 3762 - 0.909%
Y               - 3603 - 0.871%
Right           - 3340 - 0.807%
Down            - 3238 - 0.782%
K               - 3176 - 0.767%
V               - 2936 - 0.709%
Left            - 2217 - 0.536%
;               - 2045 - 0.494%
0               - 1600 - 0.387%
Del             - 1577 - 0.381%
1               - 1528 - 0.369%
2               - 1353 - 0.327%
ING             - 1339 - 0.324%
X               - 1243 - 0.3%
F10             - 1188 - 0.287%
-               - 1186 - 0.287%
/               - 1186 - 0.287%
XXX-0x5702      - 1127 - 0.272%
=               - 1039 - 0.251%
J               - 1018 - 0.246%
Up              - 871 - 0.21%
(               - 865 - 0.209%
,               - 858 - 0.207%
3               - 740 - 0.179%
Alt/Esc         - 704 - 0.17%
)               - 692 - 0.167%
'               - 586 - 0.142%
5               - 564 - 0.136%
"               - 545 - 0.132%
XXX-0x012A      - 490 - 0.118%
Ctrl-T          - 487 - 0.118%
F2              - 457 - 0.11%
AHK             - 447 - 0.108%
4               - 438 - 0.106%
Media           - 425 - 0.103%
{               - 381 - 0.092%
9               - 364 - 0.088%
QU              - 356 - 0.086%
Z               - 352 - 0.085%
7               - 342 - 0.083%
6               - 322 - 0.078%
#               - 322 - 0.078%
?               - 314 - 0.076%
BROK            - 283 - 0.068%
_               - 278 - 0.067%
Ctrl-Left       - 274 - 0.066%
Ctrl-Right      - 271 - 0.065%
8               - 268 - 0.065%
Ctrl-R          - 262 - 0.063%
+               - 250 - 0.06%
Q               - 245 - 0.059%
Clipboard       - 235 - 0.057%
!               - 234 - 0.057%
XXX-Comb-OK     - 190 - 0.046%
Ctrl-D          - 189 - 0.046%
@               - 184 - 0.044%
Blank           - 180 - 0.043%
Ctrl-I          - 165 - 0.04%
XXX-Comb-Y-     - 155 - 0.037%
XXX-0x012B      - 140 - 0.034%
Undo Tab        - 130 - 0.031%
End             - 124 - 0.03%
DAVID           - 124 - 0.03%
>               - 117 - 0.028%
XXX-0x5D67      - 117 - 0.028%
*               - 116 - 0.028%
[               - 115 - 0.028%
$               - 109 - 0.026%
Global          - 106 - 0.026%
Alt             - 104 - 0.025%
Ctrl-B          - 98 - 0.024%
Win             - 96 - 0.023%
XXX-Comb-PS     - 95 - 0.023%
F12             - 92 - 0.022%
XXX-0x022B      - 92 - 0.022%
XXX-Comb--O     - 89 - 0.022%
Ctrl-N          - 88 - 0.021%
OA              - 86 - 0.021%
<               - 80 - 0.019%
\               - 79 - 0.019%
}               - 79 - 0.019%
]               - 74 - 0.018%
#Find           - 74 - 0.018%
