Bk              - 29721 - 14.593%
__              - 18115 - 8.895%
E               - 13008 - 6.387%
T               - 9929 - 4.875%
A               - 8860 - 4.35%
O               - 8522 - 4.184%
Enter           - 7880 - 3.869%
Shift           - 7606 - 3.735%
I               - 7567 - 3.716%
R               - 7137 - 3.504%
S               - 7011 - 3.443%
N               - 6964 - 3.419%
L               - 5256 - 2.581%
C               - 4296 - 2.109%
D               - 4267 - 2.095%
M               - 3643 - 1.789%
U               - 3625 - 1.78%
P               - 3375 - 1.657%
H               - 3345 - 1.642%
NAV             - 2306 - 1.132%
F               - 2213 - 1.087%
Tab             - 2083 - 1.023%
B               - 2020 - 0.992%
G               - 1999 - 0.982%
W               - 1983 - 0.974%
.               - 1975 - 0.97%
Y               - 1894 - 0.93%
L1              - 1834 - 0.901%
K               - 1693 - 0.831%
V               - 1458 - 0.716%
Down            - 1393 - 0.684%
Right           - 1269 - 0.623%
;               - 1072 - 0.526%
Left            - 1027 - 0.504%
-               - 723 - 0.355%
,               - 679 - 0.333%
0               - 669 - 0.328%
ING             - 656 - 0.322%
1               - 641 - 0.315%
X               - 590 - 0.29%
2               - 590 - 0.29%
/               - 486 - 0.239%
=               - 467 - 0.229%
J               - 461 - 0.226%
(               - 447 - 0.219%
Up              - 434 - 0.213%
)               - 392 - 0.192%
3               - 346 - 0.17%
Alt/Esc         - 332 - 0.163%
'               - 281 - 0.138%
"               - 248 - 0.122%
BROK            - 244 - 0.12%
5               - 241 - 0.118%
Media           - 219 - 0.108%
Z               - 217 - 0.107%
F2              - 196 - 0.096%
4               - 196 - 0.096%
{               - 191 - 0.094%
XXX-Comb-OK     - 189 - 0.093%
9               - 181 - 0.089%
AHK             - 175 - 0.086%
Del             - 171 - 0.084%
?               - 171 - 0.084%
QU              - 169 - 0.083%
7               - 167 - 0.082%
Q               - 156 - 0.077%
#               - 156 - 0.077%
Ctrl-T          - 143 - 0.07%
6               - 139 - 0.068%
Clipboard       - 131 - 0.064%
Ctrl-I          - 125 - 0.061%
F10             - 116 - 0.057%
8               - 114 - 0.056%
!               - 113 - 0.055%
Blank           - 111 - 0.055%
@               - 111 - 0.055%
Ctrl-Right      - 106 - 0.052%
+               - 105 - 0.052%
_               - 91 - 0.045%
DAVID           - 81 - 0.04%
Ctrl-Left       - 75 - 0.037%
XXX-0x012A      - 73 - 0.036%
Undo Tab        - 73 - 0.036%
}               - 73 - 0.036%
Alt             - 70 - 0.034%
Global          - 66 - 0.032%
F12             - 64 - 0.031%
*               - 61 - 0.03%
>               - 58 - 0.028%
Ctrl-B          - 56 - 0.027%
PY              - 55 - 0.027%
Ctrl-N          - 50 - 0.025%
#Find           - 49 - 0.024%
$               - 48 - 0.024%
Win             - 45 - 0.022%
<               - 43 - 0.021%
FOR             - 42 - 0.021%
[               - 41 - 0.02%
Ctrl-E          - 41 - 0.02%
\               - 40 - 0.02%
End             - 37 - 0.018%
Ctrl-D          - 36 - 0.018%
