Bk-Bk           - 11881 - 6.404%
E-__            - 2321 - 1.251%
Bk-Shift        - 1879 - 1.013%
__-Bk           - 1830 - 0.986%
T-__            - 1800 - 0.97%
S-__            - 1764 - 0.951%
R-E             - 1678 - 0.905%
Enter-Enter     - 1633 - 0.88%
__-Shift        - 1617 - 0.872%
E-R             - 1544 - 0.832%
I-N             - 1391 - 0.75%
__-A            - 1350 - 0.728%
__-T            - 1246 - 0.672%
__-C            - 1070 - 0.577%
T-O             - 1051 - 0.567%
O-__            - 1044 - 0.563%
A-N             - 1021 - 0.55%
E-S             - 1009 - 0.544%
__-I            - 990 - 0.534%
N-__            - 978 - 0.527%
T-E             - 967 - 0.521%
D-__            - 947 - 0.51%
E-Bk            - 943 - 0.508%
__-S            - 924 - 0.498%
S-T             - 904 - 0.487%
Enter-Shift     - 887 - 0.478%
A-T             - 883 - 0.476%
E-N             - 882 - 0.475%
O-N             - 859 - 0.463%
O-U             - 831 - 0.448%
R-__            - 819 - 0.441%
__-O            - 819 - 0.441%
Bk-__           - 807 - 0.435%
Y-__            - 795 - 0.429%
A-L             - 790 - 0.426%
I-T             - 788 - 0.425%
O-R             - 779 - 0.42%
C-O             - 750 - 0.404%
S-E             - 739 - 0.398%
Enter-Bk        - 704 - 0.379%
A-R             - 701 - 0.378%
Ctrl-Ctrl-S     - 694 - 0.374%
L-E             - 694 - 0.374%
R-O             - 677 - 0.365%
N-T             - 676 - 0.364%
__-W            - 674 - 0.363%
Down-Down       - 634 - 0.342%
N-E             - 629 - 0.339%
A-Bk            - 622 - 0.335%
O-Bk            - 618 - 0.333%
E-D             - 617 - 0.333%
__-P            - 615 - 0.332%
L-I             - 615 - 0.332%
M-E             - 614 - 0.331%
Bk-E            - 613 - 0.33%
O-M             - 598 - 0.322%
C-H             - 586 - 0.316%
__-B            - 583 - 0.314%
I-S             - 582 - 0.314%
T-Bk            - 574 - 0.309%
T-A             - 563 - 0.303%
__-D            - 560 - 0.302%
Bk-Enter        - 556 - 0.3%
Bk-R            - 552 - 0.298%
ING-__          - 547 - 0.295%
__-M            - 543 - 0.293%
M-A             - 541 - 0.292%
E-A             - 541 - 0.292%
U-S             - 536 - 0.289%
Shift-I         - 535 - 0.288%
C-E             - 529 - 0.285%
R-Bk            - 526 - 0.284%
H-A             - 524 - 0.282%
--__            - 520 - 0.28%
S-Bk            - 519 - 0.28%
L-__            - 513 - 0.277%
V-E             - 505 - 0.272%
I-Bk            - 501 - 0.27%
Bk-T            - 495 - 0.267%
N-D             - 491 - 0.265%
A-S             - 481 - 0.259%
U-R             - 477 - 0.257%
__-R            - 477 - 0.257%
P-R             - 475 - 0.256%
.-__            - 469 - 0.253%
A-__            - 466 - 0.251%
R-A             - 465 - 0.251%
A-C             - 462 - 0.249%
D-E             - 460 - 0.248%
R-S             - 454 - 0.245%
__-THE          - 451 - 0.243%
K-E             - 445 - 0.24%
C-A             - 443 - 0.239%
Shift-C         - 442 - 0.238%
E-T             - 437 - 0.236%
L-L             - 436 - 0.235%
U-T             - 435 - 0.234%
__-F            - 434 - 0.234%
L-O             - 431 - 0.232%
E-C             - 430 - 0.232%
S-O             - 429 - 0.231%
E-E             - 420 - 0.226%
__-L            - 418 - 0.225%
Bk-S            - 418 - 0.225%
Bk-L            - 414 - 0.223%
H-E             - 414 - 0.223%
E-L             - 412 - 0.222%
D-A             - 408 - 0.22%
Bk-I            - 408 - 0.22%
T-I             - 406 - 0.219%
N-Bk            - 406 - 0.219%
SYM-Down        - 402 - 0.217%
Shift-T         - 401 - 0.216%
Bk-A            - 401 - 0.216%
R-I             - 398 - 0.215%
Bk-C            - 390 - 0.21%
T-H             - 390 - 0.21%
N-S             - 388 - 0.209%
__-H            - 380 - 0.205%
I-C             - 378 - 0.204%
Bk-Ctrl         - 376 - 0.203%
__-E            - 375 - 0.202%
Ctrl-Ctrl-Bk/SYM - 375 - 0.202%
I-E             - 372 - 0.201%
C-Bk            - 371 - 0.2%
D-Bk            - 366 - 0.197%
THE-__          - 362 - 0.195%
L-Bk            - 354 - 0.191%
M-__            - 349 - 0.188%
C-T             - 349 - 0.188%
G-E             - 345 - 0.186%
Bk-B            - 343 - 0.185%
L-A             - 339 - 0.183%
E-M             - 339 - 0.183%
Shift-L         - 334 - 0.18%
D-O             - 334 - 0.18%
S-Enter         - 330 - 0.178%
I-L             - 330 - 0.178%
Shift-A         - 329 - 0.177%
M-O             - 329 - 0.177%
U-Bk            - 328 - 0.177%
__-N            - 328 - 0.177%
F-I             - 327 - 0.176%
M-Bk            - 326 - 0.176%
,-__            - 325 - 0.175%
P-L             - 325 - 0.175%
S-U             - 324 - 0.175%
P-E             - 322 - 0.174%
F-O             - 321 - 0.173%
Shift-S         - 320 - 0.172%
H-Bk            - 320 - 0.172%
__-FOR          - 320 - 0.172%
Bk-O            - 317 - 0.171%
F-__            - 316 - 0.17%
O-T             - 311 - 0.168%
W-E             - 311 - 0.168%
W-O             - 309 - 0.167%
S-S             - 306 - 0.165%
N-O             - 306 - 0.165%
Bk-M            - 305 - 0.164%
Bk-D            - 303 - 0.163%
K-__            - 303 - 0.163%
Enter--         - 302 - 0.163%
O-P             - 297 - 0.16%
A-V             - 294 - 0.158%
Bk-L1           - 293 - 0.158%
Shift-W         - 290 - 0.156%
L1-(            - 290 - 0.156%
B-E             - 290 - 0.156%
I-D             - 288 - 0.155%
__-G            - 287 - 0.155%
Shift-D         - 284 - 0.153%
__-Enter        - 283 - 0.153%
B-Bk            - 280 - 0.151%
T-R             - 276 - 0.149%
L-Y             - 276 - 0.149%
Shift-M         - 273 - 0.147%
Bk-N            - 269 - 0.145%
D-I             - 268 - 0.144%
E-Enter         - 268 - 0.144%
P-A             - 268 - 0.144%
__-__           - 267 - 0.144%
U-N             - 267 - 0.144%
H-O             - 265 - 0.143%
Bk-W            - 265 - 0.143%
Shift-P         - 263 - 0.142%
