E-__            - 6263 - 1.376%
__-T            - 3998 - 0.878%
T-__            - 3927 - 0.863%
__-Shift        - 3771 - 0.828%
T-H             - 3652 - 0.802%
E-R             - 3536 - 0.777%
R-E             - 3400 - 0.747%
S-__            - 3355 - 0.737%
A-N             - 3138 - 0.689%
H-E             - 2954 - 0.649%
O-N             - 2935 - 0.645%
N-__            - 2916 - 0.64%
__-A            - 2915 - 0.64%
I-N             - 2886 - 0.634%
E-N             - 2835 - 0.623%
T-E             - 2761 - 0.606%
S-T             - 2561 - 0.562%
O-R             - 2464 - 0.541%
R-__            - 2460 - 0.54%
D-__            - 2368 - 0.52%
E-S             - 2356 - 0.517%
A-T             - 2232 - 0.49%
A-R             - 2227 - 0.489%
__-I            - 2205 - 0.484%
I-T             - 2097 - 0.461%
T-O             - 2085 - 0.458%
__-C            - 1972 - 0.433%
__-S            - 1907 - 0.419%
O-__            - 1849 - 0.406%
N-D             - 1825 - 0.401%
A-L             - 1792 - 0.394%
N-T             - 1787 - 0.392%
I-S             - 1746 - 0.383%
S-E             - 1740 - 0.382%
C-O             - 1739 - 0.382%
E-T             - 1735 - 0.381%
O-U             - 1729 - 0.38%
,-__            - 1699 - 0.373%
__-W            - 1684 - 0.37%
L-E             - 1676 - 0.368%
T-I             - 1636 - 0.359%
__-O            - 1625 - 0.357%
M-E             - 1595 - 0.35%
NAV-Delword     - 1549 - 0.34%
H-A             - 1546 - 0.34%
D-E             - 1528 - 0.336%
E-D             - 1525 - 0.335%
__-F            - 1507 - 0.331%
R-O             - 1505 - 0.331%
__-P            - 1481 - 0.325%
V-E             - 1451 - 0.319%
Y-__            - 1407 - 0.309%
N-E             - 1378 - 0.303%
A-S             - 1373 - 0.302%
M-A             - 1334 - 0.293%
O-M             - 1299 - 0.285%
E-A             - 1290 - 0.283%
__-D            - 1288 - 0.283%
Shift-T         - 1270 - 0.279%
__-M            - 1244 - 0.273%
L-I             - 1224 - 0.269%
Shift-I         - 1190 - 0.261%
R-A             - 1180 - 0.259%
U-R             - 1169 - 0.257%
T-A             - 1165 - 0.256%
G-E             - 1159 - 0.255%
I-O             - 1147 - 0.252%
__-B            - 1144 - 0.251%
F-O             - 1143 - 0.251%
I-L             - 1134 - 0.249%
L-__            - 1133 - 0.249%
C-H             - 1125 - 0.247%
ING-__          - 1108 - 0.243%
L-L             - 1096 - 0.241%
E-L             - 1066 - 0.234%
E-E             - 1062 - 0.233%
.-__            - 1061 - 0.233%
__-H            - 1058 - 0.232%
P-R             - 1049 - 0.23%
R-I             - 1043 - 0.229%
W-E             - 1042 - 0.229%
__-E            - 1019 - 0.224%
L-A             - 1017 - 0.223%
L1-(            - 1011 - 0.222%
E-M             - 994 - 0.218%
Shift-A         - 987 - 0.217%
A-__            - 971 - 0.213%
T-R             - 951 - 0.209%
N-S             - 945 - 0.208%
Shift-S         - 935 - 0.205%
E-C             - 914 - 0.201%
I-E             - 911 - 0.2%
H-I             - 908 - 0.199%
L-O             - 906 - 0.199%
__-R            - 901 - 0.198%
C-A             - 884 - 0.194%
A-C             - 883 - 0.194%
__-N            - 877 - 0.193%
.-Shift         - 875 - 0.192%
D-A             - 862 - 0.189%
I-C             - 858 - 0.188%
S-O             - 853 - 0.187%
Shift-C         - 841 - 0.185%
C-E             - 839 - 0.184%
__-__           - 838 - 0.184%
P-A             - 834 - 0.183%
__-L            - 826 - 0.181%
U-S             - 810 - 0.178%
U-T             - 804 - 0.177%
Shift-P         - 803 - 0.176%
,-,             - 797 - 0.175%
A-I             - 794 - 0.174%
C-T             - 792 - 0.174%
U-N             - 792 - 0.174%
B-E             - 772 - 0.17%
O-T             - 769 - 0.169%
P-L             - 767 - 0.168%
F-__            - 765 - 0.168%
__-L1           - 758 - 0.166%
F-I             - 753 - 0.165%
P-E             - 748 - 0.164%
K-__            - 745 - 0.164%
R-S             - 742 - 0.163%
Shift-D         - 738 - 0.162%
S-S             - 735 - 0.161%
K-E             - 733 - 0.161%
N-A             - 729 - 0.16%
N-O             - 724 - 0.159%
S-I             - 717 - 0.157%
__-Y            - 716 - 0.157%
A-D             - 711 - 0.156%
__-NAV          - 711 - 0.156%
H-O             - 706 - 0.155%
NAV-K_CUR_BK    - 704 - 0.155%
L1-)            - 703 - 0.154%
A-A             - 686 - 0.151%
H-__            - 684 - 0.15%
O-W             - 675 - 0.148%
O-O             - 672 - 0.148%
E-X             - 666 - 0.146%
D-I             - 662 - 0.145%
Shift-L         - 660 - 0.145%
Y-O             - 653 - 0.143%
I-G             - 651 - 0.143%
--__            - 649 - 0.143%
__-G            - 643 - 0.141%
S-U             - 640 - 0.141%
M-P             - 629 - 0.138%
Delword-Delword - 624 - 0.137%
M-O             - 623 - 0.137%
S-H             - 618 - 0.136%
M-__            - 617 - 0.136%
Shift-W         - 617 - 0.136%
U-L             - 615 - 0.135%
=-__            - 614 - 0.135%
O-F             - 608 - 0.134%
I-F             - 604 - 0.133%
D-O             - 602 - 0.132%
W-I             - 597 - 0.131%
I-D             - 596 - 0.131%
V-A             - 591 - 0.13%
W-H             - 588 - 0.129%
Shift-M         - 577 - 0.127%
__-=            - 577 - 0.127%
R-T             - 574 - 0.126%
A-V             - 573 - 0.126%
Shift-F         - 567 - 0.125%
Shift-H         - 561 - 0.123%
__-U            - 561 - 0.123%
Shift-N         - 560 - 0.123%
T-S             - 558 - 0.123%
O-P             - 554 - 0.122%
N-I             - 548 - 0.12%
A-M             - 546 - 0.12%
P-O             - 545 - 0.12%
C-K             - 532 - 0.117%
I-M             - 530 - 0.116%
W-__            - 522 - 0.115%
N-C             - 522 - 0.115%
I-__            - 514 - 0.113%
Shift-R         - 512 - 0.112%
0-0             - 511 - 0.112%
A-P             - 507 - 0.111%
W-A             - 502 - 0.11%
R-M             - 487 - 0.107%
L-Y             - 484 - 0.106%
O-L             - 478 - 0.105%
E-W             - 474 - 0.104%
G-I             - 473 - 0.104%
Shift-E         - 471 - 0.103%
O-D             - 469 - 0.103%
V-I             - 465 - 0.102%
L-T             - 462 - 0.101%
W-O             - 459 - 0.101%
L1-"            - 459 - 0.101%
Alt/Esc-Alt/Esc - 458 - 0.101%
C-L             - 456 - 0.1%
I-R             - 443 - 0.097%
R-K             - 442 - 0.097%
I-K             - 442 - 0.097%
O-S             - 438 - 0.096%
L-S             - 430 - 0.094%
M-I             - 429 - 0.094%
Shift-G         - 425 - 0.093%
G-R             - 425 - 0.093%
T-U             - 425 - 0.093%
D-D             - 422 - 0.093%
N-G             - 420 - 0.092%
Shift-B         - 418 - 0.092%
A-Y             - 414 - 0.091%
S-A             - 413 - 0.091%
O-C             - 410 - 0.09%
O-V             - 408 - 0.09%
__-V            - 405 - 0.089%
E-V             - 398 - 0.087%
B-U             - 395 - 0.087%
A-G             - 393 - 0.086%
G-H             - 391 - 0.086%
T-T             - 390 - 0.086%
I-A             - 390 - 0.086%
F-E             - 385 - 0.085%
B-A             - 375 - 0.082%
U-P             - 373 - 0.082%
R-U             - 370 - 0.081%
L-D             - 366 - 0.08%
K_CUR_BK-NAV    - 361 - 0.079%
T-Shift         - 356 - 0.078%
Shift-O         - 355 - 0.078%
P-__            - 347 - 0.076%
Shift-Shift     - 346 - 0.076%
U-__            - 344 - 0.076%
R-Y             - 340 - 0.075%
I-V             - 338 - 0.074%
G-O             - 333 - 0.073%
__--            - 328 - 0.072%
H-T             - 326 - 0.072%
P-U             - 322 - 0.071%
E-Shift         - 322 - 0.071%
B-O             - 318 - 0.07%
AHK-I           - 317 - 0.07%
2-0             - 317 - 0.07%
P-P             - 316 - 0.069%
1-0             - 311 - 0.068%
Shift-U         - 311 - 0.068%
F-R             - 303 - 0.067%
A-U             - 303 - 0.067%
R-R             - 301 - 0.066%
R-D             - 301 - 0.066%
U-M             - 296 - 0.065%
B-L             - 294 - 0.065%
T-NAV           - 293 - 0.064%
C-U             - 291 - 0.064%
O-G             - 290 - 0.064%
Delword-Shift   - 289 - 0.063%
E-B             - 289 - 0.063%
N-U             - 287 - 0.063%
E-.             - 286 - 0.063%
C-R             - 283 - 0.062%
E-Y             - 281 - 0.062%
T-ING           - 280 - 0.061%
I-J             - 280 - 0.061%
E-F             - 279 - 0.061%
O-E             - 278 - 0.061%
S-.             - 277 - 0.061%
